Date,Survey,Tag ID
28-May-13,13.1.1,R..RR
28-May-13,13.1.1,R.R.R
28-May-13,13.1.1,R.RR.
28-May-13,13.1.1,RR..R
28-May-13,13.1.1,RR.R.
28-May-13,13.1.1,RRR..
29-May-13,13.1.2,..OOO
29-May-13,13.1.2,OO...
29-May-13,13.1.2,OO..O
29-May-13,13.1.2,OO.O.
29-May-13,13.1.2,OOO..
29-May-13,13.1.2,RR.R.
30-May-13,13.1.3,BB.B.
30-May-13,13.1.3,BBBB.
30-May-13,13.1.3,RR.R.
11-Jun-13,13.2.1,..BB.
11-Jun-13,13.2.1,.B.B.
11-Jun-13,13.2.1,B...B
11-Jun-13,13.2.1,B.B.B
11-Jun-13,13.2.1,B.BB.
11-Jun-13,13.2.1,BB..B
12-Jun-13,13.2.2,..BBB
12-Jun-13,13.2.2,.B.BB
12-Jun-13,13.2.2,.BB.B
12-Jun-13,13.2.2,.BBB.
12-Jun-13,13.2.2,B..BB
12-Jun-13,13.2.2,BB...
12-Jun-13,13.2.2,BBBB.
12-Jun-13,13.2.2,R.R..
12-Jun-13,13.2.2,RR...
12-Jun-13,13.2.2,RR..B
12-Jun-13,13.2.2,RR.B.
12-Jun-13,13.2.2,RRB..
13-Jun-13,13.2.3,.OOO.
13-Jun-13,13.2.3,O..OO
13-Jun-13,13.2.3,O.O.O
13-Jun-13,13.2.3,O.OO.
18-Jun-13,13.3.1,OO.O.
18-Jun-13,13.3.1,RR.R.
18-Jun-13,13.3.1,YYB..
19-Jun-13,13.3.2,..B..
19-Jun-13,13.3.2,..B.Y
19-Jun-13,13.3.2,..BBY
19-Jun-13,13.3.2,..OOO
19-Jun-13,13.3.2,..Y..
19-Jun-13,13.3.2,..Y.B
19-Jun-13,13.3.2,.B...
19-Jun-13,13.3.2,.B.BB
19-Jun-13,13.3.2,.B.BY
19-Jun-13,13.3.2,.BB.Y
19-Jun-13,13.3.2,.BBY.
19-Jun-13,13.3.2,.BYB.
19-Jun-13,13.3.2,B..BY
19-Jun-13,13.3.2,B..YB
19-Jun-13,13.3.2,B.B.Y
19-Jun-13,13.3.2,B.BY.
19-Jun-13,13.3.2,B.Y.B
19-Jun-13,13.3.2,B.YB.
19-Jun-13,13.3.2,BB..Y
19-Jun-13,13.3.2,BB.Y.
19-Jun-13,13.3.2,BBBB.
19-Jun-13,13.3.2,BBY..
19-Jun-13,13.3.2,BY..B
19-Jun-13,13.3.2,O..OO
19-Jun-13,13.3.2,O.OO.
19-Jun-13,13.3.2,OO...
19-Jun-13,13.3.2,OOO..
19-Jun-13,13.3.2,RRB..
20-Jun-13,13.3.3,..B.Y
20-Jun-13,13.3.3,..YYB
20-Jun-13,13.3.3,.Y.YB
20-Jun-13,13.3.3,.YB.Y
20-Jun-13,13.3.3,.YY.B
20-Jun-13,13.3.3,.YYB.
20-Jun-13,13.3.3,B..BB
20-Jun-13,13.3.3,BBBB.
20-Jun-13,13.3.3,OO...
20-Jun-13,13.3.3,OOO..
20-Jun-13,13.3.3,R.R..
20-Jun-13,13.3.3,Y..YB
20-Jun-13,13.3.3,Y.BY.
20-Jun-13,13.3.3,Y.Y.B
20-Jun-13,13.3.3,Y.YB.
20-Jun-13,13.3.3,YB..Y
20-Jun-13,13.3.3,YB.Y.
20-Jun-13,13.3.3,YBY..
20-Jun-13,13.3.3,YY..B
20-Jun-13,13.3.3,YY.B.
20-Jun-13,13.3.3,YYB..
28-Jun-13,13.4.1,.BYB.
28-Jun-13,13.4.1,.R.RR
28-Jun-13,13.4.1,.RR.R
28-Jun-13,13.4.1,.RRR.
28-Jun-13,13.4.1,.YB.Y
28-Jun-13,13.4.1,R..RR
29-Jun-13,13.4.2,....O
29-Jun-13,13.4.2,..BB.
29-Jun-13,13.4.2,..BBB
29-Jun-13,13.4.2,..BBY
29-Jun-13,13.4.2,..O..
29-Jun-13,13.4.2,.B.B.
29-Jun-13,13.4.2,.BO.O
29-Jun-13,13.4.2,.BOO.
29-Jun-13,13.4.2,.O.OO
29-Jun-13,13.4.2,.OO.O
29-Jun-13,13.4.2,.RRO.
29-Jun-13,13.4.2,B..BY
29-Jun-13,13.4.2,B..OO
29-Jun-13,13.4.2,B.B.B
29-Jun-13,13.4.2,B.B.Y
29-Jun-13,13.4.2,B.O.O
29-Jun-13,13.4.2,B.OO.
29-Jun-13,13.4.2,BB.B.
29-Jun-13,13.4.2,BO..O
29-Jun-13,13.4.2,BO.O.
29-Jun-13,13.4.2,BOO..
29-Jun-13,13.4.2,O.O.Y
29-Jun-13,13.4.2,O.OO.
29-Jun-13,13.4.2,OOO..
29-Jun-13,13.4.2,R.R..
29-Jun-13,13.4.2,RR..B
29-Jun-13,13.4.2,RR..O
29-Jun-13,13.4.2,RR.O.
29-Jun-13,13.4.2,RRO..
29-Jun-13,13.4.2,Y.OOO
29-Jun-13,13.4.2,Y.YB.
29-Jun-13,13.4.2,YYB..
30-Jun-13,13.4.3,..B.Y
30-Jun-13,13.4.3,..BBB
30-Jun-13,13.4.3,..BBY
30-Jun-13,13.4.3,..Y..
30-Jun-13,13.4.3,..YYB
30-Jun-13,13.4.3,..YYO
30-Jun-13,13.4.3,.B.B.
30-Jun-13,13.4.3,.BB.B
30-Jun-13,13.4.3,.OOO.
30-Jun-13,13.4.3,.RRO.
30-Jun-13,13.4.3,B.BY.
30-Jun-13,13.4.3,BBBB.
30-Jun-13,13.4.3,BY..B
30-Jun-13,13.4.3,O.O.O
30-Jun-13,13.4.3,R.R.R
30-Jun-13,13.4.3,RRB..
30-Jun-13,13.4.3,Y.OOO
30-Jun-13,13.4.3,Y.OY.1
30-Jun-13,13.4.3,YBY..
30-Jun-13,13.4.3,YO..Y
30-Jun-13,13.4.3,YO.Y.
30-Jun-13,13.4.3,YOY..
30-Jun-13,13.4.3,YY.B.
27-Sep-13,13.5.1,....O
27-Sep-13,13.5.1,..BBB
27-Sep-13,13.5.1,..OOB
27-Sep-13,13.5.1,.BBY.
27-Sep-13,13.5.1,.BOO.
27-Sep-13,13.5.1,.O.OB
27-Sep-13,13.5.1,.OO.B
27-Sep-13,13.5.1,.OOB.
27-Sep-13,13.5.1,.RR.B
27-Sep-13,13.5.1,.RRB.
27-Sep-13,13.5.1,BB..Y
27-Sep-13,13.5.1,BBBB.
27-Sep-13,13.5.1,O..OB
27-Sep-13,13.5.1,O.O.B
27-Sep-13,13.5.1,O.OB.
27-Sep-13,13.5.1,OO..B
27-Sep-13,13.5.1,OO.B.
27-Sep-13,13.5.1,OOB..
27-Sep-13,13.5.1,R..RB
27-Sep-13,13.5.1,R.R.B
27-Sep-13,13.5.1,R.RB.
27-Sep-13,13.5.1,RR..O
27-Sep-13,13.5.1,YB..Y
27-Sep-13,13.5.1,YO..Y
27-Sep-13,13.5.1,YYB..
28-Sep-13,13.5.2,....O
28-Sep-13,13.5.2,..RRY
28-Sep-13,13.5.2,..Y.B
28-Sep-13,13.5.2,.BB.Y
28-Sep-13,13.5.2,.BYB.
28-Sep-13,13.5.2,.O.OO
28-Sep-13,13.5.2,.R.RR
28-Sep-13,13.5.2,.R.RY
28-Sep-13,13.5.2,.RR.Y
28-Sep-13,13.5.2,.RRY.
28-Sep-13,13.5.2,B.B.Y
28-Sep-13,13.5.2,B.Y.B
28-Sep-13,13.5.2,OO..O
28-Sep-13,13.5.2,OO.B.
28-Sep-13,13.5.2,R..RB
28-Sep-13,13.5.2,R..RY
28-Sep-13,13.5.2,R.R.B
28-Sep-13,13.5.2,R.R.Y
28-Sep-13,13.5.2,R.RY.
28-Sep-13,13.5.2,RR..B
28-Sep-13,13.5.2,RR..Y
28-Sep-13,13.5.2,RR.Y.
28-Sep-13,13.5.2,RRY..
28-Sep-13,13.5.2,RY..R
28-Sep-13,13.5.2,RY.R.
28-Sep-13,13.5.2,RYR..
29-Sep-13,13.5.3,RRY..
8-Jun-14,14.1.1,R.R.R
9-Jun-14,14.1.2,..BBB
9-Jun-14,14.1.2,..ROO
9-Jun-14,14.1.2,..Y..
9-Jun-14,14.1.2,.R...
9-Jun-14,14.1.2,.R.OO
9-Jun-14,14.1.2,.R.RY
9-Jun-14,14.1.2,.RO.O
9-Jun-14,14.1.2,.ROO.
9-Jun-14,14.1.2,.RR.B
9-Jun-14,14.1.2,B...B
9-Jun-14,14.1.2,B..BY
9-Jun-14,14.1.2,B.BB.
9-Jun-14,14.1.2,B.Y.B
9-Jun-14,14.1.2,O.O.Y
9-Jun-14,14.1.2,O.R.R
9-Jun-14,14.1.2,O.RR.
9-Jun-14,14.1.2,OR..R
9-Jun-14,14.1.2,OR.R.
9-Jun-14,14.1.2,ORR..
9-Jun-14,14.1.2,R....
9-Jun-14,14.1.2,R..OO
9-Jun-14,14.1.2,R..RB
9-Jun-14,14.1.2,R.O.O
9-Jun-14,14.1.2,R.OO.
9-Jun-14,14.1.2,RO...
9-Jun-14,14.1.2,RO..O
9-Jun-14,14.1.2,RO.O.
9-Jun-14,14.1.2,ROO..
9-Jun-14,14.1.2,RR..O
9-Jun-14,14.1.2,RRY..
9-Jun-14,14.1.2,Y.BY.
9-Jun-14,14.1.2,Y.Y.B
9-Jun-14,14.1.2,Y.YB.
9-Jun-14,14.1.2,YO..Y
9-Jun-14,14.1.2,YOY..
9-Jun-14,14.1.2,YY..B
10-Jun-14,14.1.3,R.O..
11-Jun-14,14.1.4,..BBY
11-Jun-14,14.1.4,..YYB
11-Jun-14,14.1.4,..YYO
11-Jun-14,14.1.4,.BB.B
11-Jun-14,14.1.4,.O.OO
11-Jun-14,14.1.4,.RB..
11-Jun-14,14.1.4,.RO.O
11-Jun-14,14.1.4,.RR.R
11-Jun-14,14.1.4,.Y.YB
11-Jun-14,14.1.4,B.RR.
11-Jun-14,14.1.4,BBBB.
11-Jun-14,14.1.4,BR..R
11-Jun-14,14.1.4,BR.R.
11-Jun-14,14.1.4,BRR..
11-Jun-14,14.1.4,OR.R.
11-Jun-14,14.1.4,R...B
11-Jun-14,14.1.4,R..B.
11-Jun-14,14.1.4,R..RB
11-Jun-14,14.1.4,R.R.B
11-Jun-14,14.1.4,RB...
11-Jun-14,14.1.4,RO.O.
11-Jun-14,14.1.4,Y.Y.B
20-Jun-14,14.2.1,..BBB
20-Jun-14,14.2.1,..BBY
20-Jun-14,14.2.1,..Y..
20-Jun-14,14.2.1,..YYB
20-Jun-14,14.2.1,.BB.B
20-Jun-14,14.2.1,.O.OO
20-Jun-14,14.2.1,.RR.R
20-Jun-14,14.2.1,.YY..
20-Jun-14,14.2.1,B...B
20-Jun-14,14.2.1,B..BY
20-Jun-14,14.2.1,B.Y.B
20-Jun-14,14.2.1,BRR..
20-Jun-14,14.2.1,O.O.Y
20-Jun-14,14.2.1,O.RR.
20-Jun-14,14.2.1,OR.R.
20-Jun-14,14.2.1,R.R.R
20-Jun-14,14.2.1,R.RY.
20-Jun-14,14.2.1,ROO..
20-Jun-14,14.2.1,Y.YY.
20-Jun-14,14.2.1,YO..Y
20-Jun-14,14.2.1,YY...
20-Jun-14,14.2.1,YY..Y
20-Jun-14,14.2.1,YY.Y.
20-Jun-14,14.2.1,YYY..
21-Jun-14,14.2.2,YY..B
22-Jun-14,14.2.3,..BBB
22-Jun-14,14.2.3,.Y.YY
22-Jun-14,14.2.3,R..RB
22-Jun-14,14.2.3,Y.Y..
22-Jun-14,14.2.3,Y.Y.Y
22-Jun-14,14.2.3,Y.YY.
23-Jun-14,14.2.4,RB...
9-Jul-14,14.3.1,OO...
9-Jul-14,14.3.1,R...B
9-Jul-14,14.3.1,R..RB
9-Jul-14,14.3.1,RB...
9-Jul-14,14.3.1,ROO..
9-Jul-14,14.3.1,Y..YY
9-Jul-14,14.3.1,Y.BY.
10-Jul-14,14.3.2,...RY
10-Jul-14,14.3.2,...YR
10-Jul-14,14.3.2,..BBB
10-Jul-14,14.3.2,..R.Y
10-Jul-14,14.3.2,..RY.
10-Jul-14,14.3.2,..RYY
10-Jul-14,14.3.2,..Y..
10-Jul-14,14.3.2,..Y.R
10-Jul-14,14.3.2,..YR.
10-Jul-14,14.3.2,..YYB
10-Jul-14,14.3.2,.B.BB
10-Jul-14,14.3.2,.O.OO
10-Jul-14,14.3.2,.R..R
10-Jul-14,14.3.2,.R..Y
10-Jul-14,14.3.2,.R.R.
10-Jul-14,14.3.2,.R.Y.
10-Jul-14,14.3.2,.R.YY
10-Jul-14,14.3.2,.RR..
10-Jul-14,14.3.2,.RR.R
10-Jul-14,14.3.2,.RR.Y
10-Jul-14,14.3.2,.RY..
10-Jul-14,14.3.2,.RY.Y
10-Jul-14,14.3.2,.RYY.
10-Jul-14,14.3.2,.Y..R
10-Jul-14,14.3.2,.Y.R.
10-Jul-14,14.3.2,.YR..
10-Jul-14,14.3.2,.YY..
10-Jul-14,14.3.2,B...B
10-Jul-14,14.3.2,BBBB.
10-Jul-14,14.3.2,O.O.B
10-Jul-14,14.3.2,O.O.Y
10-Jul-14,14.3.2,OR..R
10-Jul-14,14.3.2,OR.R.
10-Jul-14,14.3.2,R...R
10-Jul-14,14.3.2,R...Y
10-Jul-14,14.3.2,R..R.
10-Jul-14,14.3.2,R..Y.
10-Jul-14,14.3.2,R..YY
10-Jul-14,14.3.2,R.Y..
10-Jul-14,14.3.2,R.Y.Y
10-Jul-14,14.3.2,R.YY.
10-Jul-14,14.3.2,RO.O.
10-Jul-14,14.3.2,RY...
10-Jul-14,14.3.2,RY..Y
10-Jul-14,14.3.2,RY.Y.
10-Jul-14,14.3.2,RYR..
10-Jul-14,14.3.2,RYY..
10-Jul-14,14.3.2,Y...R
10-Jul-14,14.3.2,Y..R.
10-Jul-14,14.3.2,Y.R..
10-Jul-14,14.3.2,YO.Y.
10-Jul-14,14.3.2,YOY..
10-Jul-14,14.3.2,YR...
10-Jul-14,14.3.2,YY...
10-Jul-14,14.3.2,YY..B
10-Jul-14,14.3.2,YY.Y.
10-Jul-14,14.3.2,YYY..
11-Jul-14,14.3.3,....O
11-Jul-14,14.3.3,.R...
11-Jul-14,14.3.3,BO.B.
11-Jul-14,14.3.3,BOB..
12-Jul-14,14.3.4,..BBB
12-Jul-14,14.3.4,.O.OO
12-Jul-14,14.3.4,.R.YY
12-Jul-14,14.3.4,.ROO.
12-Jul-14,14.3.4,.RR.R
12-Jul-14,14.3.4,.Y.YY
12-Jul-14,14.3.4,B...B
12-Jul-14,14.3.4,BBBB.
12-Jul-14,14.3.4,BRR..
12-Jul-14,14.3.4,O.R.R
12-Jul-14,14.3.4,OR..R
12-Jul-14,14.3.4,R...B
12-Jul-14,14.3.4,R..OO
12-Jul-14,14.3.4,Y...B
12-Jul-14,14.3.4,Y..B.
12-Jul-14,14.3.4,Y.B..
12-Jul-14,14.3.4,Y.BB.
12-Jul-14,14.3.4,Y.Y..
12-Jul-14,14.3.4,YB...
12-Jul-14,14.3.4,YB..B
12-Jul-14,14.3.4,YB.B.
12-Jul-14,14.3.4,YBB..
12-Jul-14,14.3.4,YY.Y.
25-Jul-14,14.4.1,BR...
25-Jul-14,14.4.1,BRB..
26-Jul-14,14.4.2,..BBB
26-Jul-14,14.4.2,..O..
26-Jul-14,14.4.2,..YYO
26-Jul-14,14.4.2,.B...
26-Jul-14,14.4.2,.O.OO
26-Jul-14,14.4.2,.ROO.
26-Jul-14,14.4.2,.RY.Y
26-Jul-14,14.4.2,.Y.YB
26-Jul-14,14.4.2,BR...
26-Jul-14,14.4.2,BRR..
26-Jul-14,14.4.2,O...R
26-Jul-14,14.4.2,O..R.
26-Jul-14,14.4.2,O.O.B
26-Jul-14,14.4.2,O.RO.
26-Jul-14,14.4.2,OR..O
26-Jul-14,14.4.2,OR..R
26-Jul-14,14.4.2,OR.O.
26-Jul-14,14.4.2,ORO..
26-Jul-14,14.4.2,R..RB
26-Jul-14,14.4.2,R.R.B
26-Jul-14,14.4.2,RO...
26-Jul-14,14.4.2,RO.O.
26-Jul-14,14.4.2,Y.YY.
26-Jul-14,14.4.2,YB..B
27-Jul-14,14.4.3,.R...
27-Jul-14,14.4.3,.R.O.
27-Jul-14,14.4.3,.RB..
27-Jul-14,14.4.3,.RO..
27-Jul-14,14.4.3,B..OO
27-Jul-14,14.4.3,B.B.Y
27-Jul-14,14.4.3,O.RO.
27-Jul-14,14.4.3,YR...
28-Jul-14,14.4.4,..O..
28-Jul-14,14.4.4,..ROO
28-Jul-14,14.4.4,..Y..
28-Jul-14,14.4.4,..YYB
28-Jul-14,14.4.4,..YYY
28-Jul-14,14.4.4,.R..Y
28-Jul-14,14.4.4,.Y.YB
28-Jul-14,14.4.4,.YY.Y
28-Jul-14,14.4.4,.YYY.
28-Jul-14,14.4.4,BRR..
28-Jul-14,14.4.4,O.O.B
28-Jul-14,14.4.4,O.RO.
28-Jul-14,14.4.4,R..OO
28-Jul-14,14.4.4,R..RB
28-Jul-14,14.4.4,R.Y.Y
28-Jul-14,14.4.4,RO.O.
28-Jul-14,14.4.4,RY..Y
28-Jul-14,14.4.4,RY.Y.
28-Jul-14,14.4.4,RYR..
28-Jul-14,14.4.4,Y.BB.
28-Jul-14,14.4.4,Y.Y.B
28-Jul-14,14.4.4,YY.Y.
19-Jun-15,15.1.1,..ROO
19-Jun-15,15.1.1,..YOY
19-Jun-15,15.1.1,.O.OO
19-Jun-15,15.1.1,.ROO.
19-Jun-15,15.1.1,.RR.R
19-Jun-15,15.1.1,.Y.OY
19-Jun-15,15.1.1,.Y.YB
19-Jun-15,15.1.1,.YO.Y
19-Jun-15,15.1.1,.YOO.
19-Jun-15,15.1.1,.YOY.
19-Jun-15,15.1.1,BBBB.
19-Jun-15,15.1.1,O.RO.
19-Jun-15,15.1.1,O.RR.
19-Jun-15,15.1.1,RO...
